# evals,min,q25,med,q75,max,ave
50.0,8.499412723565577,9.97155689121966,10.665161565693996,11.346612508855317,12.596815972884349,10.64087548832621
100.0,7.57673885542608,9.57940233135539,10.266822731137397,10.895460033444962,12.464133053678717,10.23907703613276
150.0,7.468398141472327,8.947191502335816,9.629482710114324,10.432099376569138,11.352532599932369,9.633970631078494
200.0,6.897698135145619,8.716438926271,9.104509617811082,9.787724932848299,11.100673273284226,9.173458999266444
250.0,5.357204363199156,8.2233963845737,8.868385225884953,9.424598166020491,10.265229683654733,8.654392469955173
300.0,5.357204363199156,7.676513086894826,8.556850001392029,9.0615090299838,10.265229683654733,8.422831993737306
350.0,5.357204363199156,7.5599064539932925,8.313774417185014,8.727658714549904,9.829984316859875,8.138594632566328
400.0,5.357204363199156,7.167737792347328,7.8495993982654575,8.499324688543409,9.636745833612176,7.7877625626283695
450.0,3.975927049440233,6.458954640512032,7.488766234064171,8.341293263291679,9.462512068097494,7.309593707077228
500.0,3.975927049440233,6.325861224331286,6.902156068603265,7.736197266574114,9.322105352659651,6.944807514611388
550.0,3.975927049440233,5.819702948553576,6.5061268142514255,7.1226297472566875,8.867889071771868,6.524382528627542
600.0,3.975927049440233,5.819702948553576,6.401292653849717,6.992578758408772,7.998754874313965,6.389046208233284
650.0,3.975927049440233,5.528992604859887,6.1781541047604716,6.82797529333609,7.673814328526496,6.114039545393512
700.0,3.975927049440233,5.19896021766521,5.834460860672513,6.368572395062815,7.156024276240992,5.786126342778803
750.0,3.975927049440233,4.913440344834768,5.3843651517342,6.289315586621472,7.141953959508956,5.579188901238369
800.0,3.2728917658449075,4.642528576922269,5.249147481312109,6.053164003636562,6.901335584482757,5.3139525730950465
850.0,3.2728917658449075,4.517282712620747,5.018716254483861,5.614249213538784,6.523336368081762,5.043293040350874
900.0,3.2728917658449075,4.517282712620747,5.002264296607512,5.411133007470173,6.523336368081762,4.990753606614848
950.0,3.2728917658449075,4.388385812152761,4.783044466776412,5.260783296708939,6.523336368081762,4.801389568721272
1000.0,2.6705119985034655,3.981814809920736,4.509057784334866,5.099673871359471,5.983518316750873,4.5383180565914945
1050.0,2.207568387771904,3.916332027607707,4.434804152677058,4.983472460001497,5.983518316750873,4.3746229889504145
1100.0,2.207568387771904,3.7526530004332415,4.108321213829778,4.797288915050926,5.983518316750873,4.177629453026059
1150.0,2.207568387771904,3.7526530004332415,4.108321213829778,4.674727895720157,5.983518316750873,4.12742944051892
1200.0,2.207568387771904,3.7419788154155484,3.968271083512678,4.2540497976830585,5.423442048434281,3.936501224353756
1250.0,2.207568387771904,3.6379452438189137,3.8764675086862077,4.237594593852338,4.95912648727022,3.79607068875496
1300.0,2.207568387771904,3.6379452438189137,3.8764675086862077,4.147885684661253,4.95912648727022,3.770009797403231
1350.0,2.207568387771904,3.122306274918895,3.7352158049299726,3.9935903308817444,4.95912648727022,3.6229910251788593
1400.0,2.207568387771904,3.063709580810999,3.5717962029934824,3.86622877277043,4.95912648727022,3.469711258701427
1450.0,2.207568387771904,2.948521767404677,3.3050666498262595,3.7561652677489428,4.768546853852734,3.3661930647247087
1500.0,2.207568387771904,2.736160097060732,3.072892113248203,3.674902652822256,4.768546853852734,3.2125476551326764
1550.0,2.207568387771904,2.720271088154429,3.072892113248203,3.5005968403422454,4.768546853852734,3.122009248492988
1600.0,2.207568387771904,2.6966999320614358,3.072892113248203,3.447168808377513,4.768546853852734,3.0834058468252468
1650.0,2.0615676704246515,2.6754341991066433,2.8592736892709785,3.1409400610009977,4.181646218885099,2.9168405406042703
1700.0,2.0615676704246515,2.6754341991066433,2.8592736892709785,3.060887490109313,3.814486250584826,2.8501964422554176
1750.0,2.0615676704246515,2.595605097173118,2.8592736892709785,3.026596362677588,3.5702291067846854,2.813586377064128
1800.0,2.0615676704246515,2.5017048155949544,2.7764699812836326,2.9888412131989446,3.418134199830841,2.7417622569010236
1850.0,1.7606680283460068,2.4146861110945297,2.7039177332218025,2.915933036143236,3.418134199830841,2.6655794442595995
1900.0,1.7606680283460068,2.3610018953374716,2.6514603205194742,2.9086814550818256,3.418134199830841,2.601465898928028
1950.0,1.7606680283460068,2.274096972852111,2.6514603205194742,2.876037314134973,3.418134199830841,2.565221919516414
2000.0,1.7606680283460068,2.274096972852111,2.590309648751779,2.772191666062869,3.418134199830841,2.504924401424575
2050.0,1.7606680283460068,2.190910712683877,2.440509566831092,2.63869277461274,3.418134199830841,2.4307031630275047
2100.0,1.7606680283460068,2.0937364787629416,2.440509566831092,2.621067408596227,2.9162095089837834,2.3678526665714847
2150.0,1.7606680283460068,2.076191319832085,2.3508199350429537,2.569838032168587,2.8649280040405354,2.313988112259464
2200.0,1.7606680283460068,2.0642315106779607,2.237141128329564,2.465492799797862,2.8649280040405354,2.2556634572717353
2250.0,1.7172001344913512,2.0642315106779607,2.1788069415491935,2.3650917000519924,2.700105225443026,2.212149830111657
2300.0,1.7172001344913512,1.963829275444974,2.112736753229977,2.354914289057608,2.700105225443026,2.1770625497411014
2350.0,1.7172001344913512,1.8828489460992006,2.0801596082262823,2.3144280796671204,2.700105225443026,2.1138093180253628
2400.0,1.7172001344913512,1.873499686967154,1.9876291125088434,2.1179797868847516,2.700105225443026,2.030899748361059
2450.0,1.6783450779464413,1.8693563116157885,1.9707951641479202,2.092860738625384,2.700105225443026,1.9981457410284307
2500.0,1.6448351507581405,1.858799489735225,1.8913213752849984,2.0374858355028636,2.700105225443026,1.9602720768382311
2550.0,1.6448351507581405,1.8519281742415636,1.885229531036075,2.0374858355028636,2.584380395821447,1.9495151491556542
2600.0,1.6448351507581405,1.7686675453849086,1.875423362642968,1.988354655247601,2.3640828498865725,1.8915311949588387
2650.0,1.5820902524022913,1.7394052179403134,1.8588970158584868,1.9774068146926496,2.3640828498865725,1.868268217218103
2700.0,1.4676130115583943,1.6836598096914732,1.8501907091283498,1.9036330802728387,2.302379463110584,1.8370230885730245
2750.0,1.4676130115583943,1.6485287872903656,1.7365199248944447,1.862379869349444,2.302379463110584,1.767852959198369
2800.0,1.4676130115583943,1.598657013812436,1.7110773396992294,1.8601219395593112,2.2991644967114446,1.746289342791663
2850.0,1.4419325340180327,1.5739694582108885,1.6952153322517511,1.787292844080573,1.9339319624568985,1.6903275165288
2900.0,1.3907388109017107,1.5739694582108885,1.673150810053238,1.7635983689881898,1.9339319624568985,1.6701819254194539
2950.0,1.383819518324933,1.5466523791867948,1.6487002765378613,1.722000535664927,1.9181006454621583,1.6437040790119541
3000.0,1.383819518324933,1.5168117615669157,1.613283113995145,1.7129768802542955,1.8801820929344688,1.622312539619229
3050.0,1.379876825558999,1.5029777657615886,1.6085864903043021,1.7129768802542955,1.8801820929344688,1.6129653691257382
3100.0,1.379876825558999,1.4850132837823158,1.582276926171757,1.7087680093966144,1.8801820929344688,1.5924297817672843
