# evals,fx,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
5.000000000000000000e+01,1.089556577641545410e+01,7.402482732544237365e+01,1.645538573451194964e+01,-4.423221185978618308e+01,-6.281775358196415482e+01,-1.777997441497736020e+01,-7.652489057305689357e+01,3.699374887482699137e+01,-1.247778806806991270e+01,1.124586503439404339e+01,-2.658393567613521213e+01,-1.952685423715942648e+01,-7.739185986112073579e+01,-1.059383074650213530e+01,1.708902330220713850e+01,-6.760297923101234119e+01,4.143757610536709990e+00,-3.478977477243489602e+01,3.983724758888820361e+01,-2.672109021674327778e+01,6.727490165321103177e+01
1.000000000000000000e+02,1.089556577641545410e+01,7.402482732544237365e+01,1.645538573451194964e+01,-4.423221185978618308e+01,-6.281775358196415482e+01,-1.777997441497736020e+01,-7.652489057305689357e+01,3.699374887482699137e+01,-1.247778806806991270e+01,1.124586503439404339e+01,-2.658393567613521213e+01,-1.952685423715942648e+01,-7.739185986112073579e+01,-1.059383074650213530e+01,1.708902330220713850e+01,-6.760297923101234119e+01,4.143757610536709990e+00,-3.478977477243489602e+01,3.983724758888820361e+01,-2.672109021674327778e+01,6.727490165321103177e+01
1.500000000000000000e+02,1.004645552338984693e+01,-3.016989215649607914e+01,1.645538573451194964e+01,-8.671107510788014849e+01,3.539972170757246062e+01,3.496084319797982687e+01,3.591040595142843017e+00,3.637907618847765434e+01,1.653543918027048676e+01,-6.225553707192195674e+01,-5.463582191299096280e+00,-6.760551749273632538e+01,4.981913459379342868e+01,2.342413137301920045e+01,1.708902330220713850e+01,-4.069418580702149058e+01,4.851572664015569814e+01,-2.607377851653264855e+01,5.411030318882936285e+00,3.680461058831873089e+01,7.435443925200665660e+01
2.000000000000000000e+02,8.730420897153431170e+00,1.424008622717919792e+01,7.390669385590359752e+01,-7.784107202890102428e+01,-5.416017909292334309e+01,1.378342111752018440e+01,-1.224923964381828512e+01,5.006725375470985284e+01,-1.473266914905413572e+01,1.968345645174969150e+01,2.512511612578528641e+01,8.149406165378900369e+01,-3.661475125477174686e+00,-2.596681671536975955e+01,2.594792404641527384e+01,2.821766153151772727e+01,-3.565908165936416196e+01,-4.131847311498448505e+01,-8.585261262855247821e+00,6.511802448255650688e+00,1.697756578143893336e+01
2.500000000000000000e+02,7.635883941840008404e+00,-1.649669699024882163e+01,7.403942903966338918e+00,-1.821176191861705718e+01,-1.898056017992320932e+01,-4.180503279294473629e+01,-3.985430305522628203e+01,3.503619852464366602e+01,3.412006220067672757e+01,-3.314494534073659793e-01,-4.712444643247310694e+01,2.102962325194240734e+01,2.923299240257611942e+01,1.712529554819365174e+01,8.975923589927170099e+00,-5.869323794680575190e+01,-7.115665980628591569e+00,-2.572276955939980070e+01,2.105205070660539235e+01,-8.016248752425491375e+01,6.985108557332959833e+01
3.000000000000000000e+02,7.635883941840008404e+00,-1.649669699024882163e+01,7.403942903966338918e+00,-1.821176191861705718e+01,-1.898056017992320932e+01,-4.180503279294473629e+01,-3.985430305522628203e+01,3.503619852464366602e+01,3.412006220067672757e+01,-3.314494534073659793e-01,-4.712444643247310694e+01,2.102962325194240734e+01,2.923299240257611942e+01,1.712529554819365174e+01,8.975923589927170099e+00,-5.869323794680575190e+01,-7.115665980628591569e+00,-2.572276955939980070e+01,2.105205070660539235e+01,-8.016248752425491375e+01,6.985108557332959833e+01
3.500000000000000000e+02,7.635883941840008404e+00,-1.649669699024882163e+01,7.403942903966338918e+00,-1.821176191861705718e+01,-1.898056017992320932e+01,-4.180503279294473629e+01,-3.985430305522628203e+01,3.503619852464366602e+01,3.412006220067672757e+01,-3.314494534073659793e-01,-4.712444643247310694e+01,2.102962325194240734e+01,2.923299240257611942e+01,1.712529554819365174e+01,8.975923589927170099e+00,-5.869323794680575190e+01,-7.115665980628591569e+00,-2.572276955939980070e+01,2.105205070660539235e+01,-8.016248752425491375e+01,6.985108557332959833e+01
4.000000000000000000e+02,7.635883941840008404e+00,-1.649669699024882163e+01,7.403942903966338918e+00,-1.821176191861705718e+01,-1.898056017992320932e+01,-4.180503279294473629e+01,-3.985430305522628203e+01,3.503619852464366602e+01,3.412006220067672757e+01,-3.314494534073659793e-01,-4.712444643247310694e+01,2.102962325194240734e+01,2.923299240257611942e+01,1.712529554819365174e+01,8.975923589927170099e+00,-5.869323794680575190e+01,-7.115665980628591569e+00,-2.572276955939980070e+01,2.105205070660539235e+01,-8.016248752425491375e+01,6.985108557332959833e+01
4.500000000000000000e+02,7.635883941840008404e+00,-1.649669699024882163e+01,7.403942903966338918e+00,-1.821176191861705718e+01,-1.898056017992320932e+01,-4.180503279294473629e+01,-3.985430305522628203e+01,3.503619852464366602e+01,3.412006220067672757e+01,-3.314494534073659793e-01,-4.712444643247310694e+01,2.102962325194240734e+01,2.923299240257611942e+01,1.712529554819365174e+01,8.975923589927170099e+00,-5.869323794680575190e+01,-7.115665980628591569e+00,-2.572276955939980070e+01,2.105205070660539235e+01,-8.016248752425491375e+01,6.985108557332959833e+01
5.000000000000000000e+02,7.635883941840008404e+00,-1.649669699024882163e+01,7.403942903966338918e+00,-1.821176191861705718e+01,-1.898056017992320932e+01,-4.180503279294473629e+01,-3.985430305522628203e+01,3.503619852464366602e+01,3.412006220067672757e+01,-3.314494534073659793e-01,-4.712444643247310694e+01,2.102962325194240734e+01,2.923299240257611942e+01,1.712529554819365174e+01,8.975923589927170099e+00,-5.869323794680575190e+01,-7.115665980628591569e+00,-2.572276955939980070e+01,2.105205070660539235e+01,-8.016248752425491375e+01,6.985108557332959833e+01
