# evals,fx,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
5.000000000000000000e+01,3.632344504171326116e+04,-7.232906204141069395e+01,-4.197110737909166289e+01,2.277421794825052359e+01,-3.517229402051067666e+01,-8.527963661800313844e+00,-1.117657859667711762e+01,6.562707214630242447e+01,-1.473036915275388026e+01,-3.086023576489952802e+01,3.499432096182104601e+01,-5.570358885329424936e+01,-6.550835214689243458e+00,-3.704686253519670913e+01,2.537112043256692573e+01,7.547209493896252752e+01,-1.046219997087429476e+01,5.689148375838462357e+01,-8.606859887689921607e+00,3.124586634342628599e+01,-7.363180499449957495e+01
1.000000000000000000e+02,3.274461890157071684e+04,-1.680590039291652715e+01,4.586378387222467268e+01,-2.071174331514802702e+01,2.877912886233255563e+01,1.613938762472021082e+01,-4.583337617476563963e+01,5.588561616521396047e+00,-3.560957806566948136e+01,1.789123568594312985e+01,4.158907107067378917e+01,3.133366346690132787e+01,2.013138791994501275e+01,2.341950114419825013e+01,-1.488772194769060775e+01,2.309089655492886806e+01,-2.373438658098691434e+01,-5.062302971969660348e+01,-8.389642734436259275e+01,8.039759896191621635e+01,-6.381618304450873325e+01
1.500000000000000000e+02,2.990583698613376691e+04,-1.585639701288314996e+00,-5.790336288927092312e+01,-4.710437163108636582e+00,1.925195084900822451e+01,-2.926677214843610386e+01,-5.465394441974304129e+00,4.336069445909930664e+01,-3.350533776714958378e+01,5.382124399378948709e+00,-4.068871573371249184e+01,-6.277090039479833905e+01,-3.239605509414073481e+01,-4.164690562497770543e+01,4.481057246964440566e+01,5.445367944728861431e+00,1.046535420051271004e+01,6.305965060330513694e+01,4.745823529611685387e+01,7.405046730634309426e+01,6.270256048106546132e-01
2.000000000000000000e+02,1.919131433529245260e+04,-3.081613459539135391e+01,1.416766382429025839e+01,-1.992346530138268079e+01,-5.343109647342079427e+01,4.514553005549640829e+01,-2.824612307386551890e+01,3.250361441248242045e+01,4.508739364133491279e+01,3.520064741304715028e+01,1.461989338700120911e+01,-1.560060732635722758e+00,-1.433484762057509343e+01,3.058367811180144713e+01,-6.168356861678169878e+00,4.356480735881582689e+01,-1.701233633368578779e+01,-1.969111068392650310e+01,-3.763970014094653038e+00,-4.558756661294584944e+01,3.952475819182834016e+01
2.500000000000000000e+02,1.635460604804529066e+04,4.465677207276995375e+01,3.029767470921684946e+01,1.739154488455469050e+01,4.039265160941309318e+01,-5.087504014953442777e+01,-7.410309809352304100e+00,-2.661595318725677828e+01,2.390406592166666400e+01,-1.553648360882489143e+01,2.046522120453568760e+01,1.062741116739165825e+00,2.418805908455427556e+01,3.062547193207053908e+01,-3.348227010346434440e+00,2.145098382881938193e+01,1.640002336507841463e+01,-6.662411857401428961e+01,-5.146329971485565480e+00,-8.213033969374425425e+00,-1.131614448103090886e+01
3.000000000000000000e+02,1.326904865891774716e+04,-3.105457313962227062e+01,-2.309429378234521835e+01,4.821614982675311722e+01,2.701517403582939991e+01,6.555948296830221622e+00,-2.792270146473565973e+01,-3.718099932412668096e+01,3.299095004510626694e+01,-4.737016661892070601e+00,3.311280846872485029e+01,1.822021276600023754e+01,-1.279987544455439696e+01,1.877481435810964072e+01,2.841443297274668467e+01,4.990525576138011843e-01,2.084980985158512823e+00,-1.764121281960688137e+01,-3.397697563421527178e+00,-4.809078530978770516e+01,-2.924242940030467253e+00
3.500000000000000000e+02,1.100813315670579323e+04,-1.736701727377192128e+01,-4.020957766002510425e+01,3.978017882987754383e+00,-9.974079701944010168e+00,1.391010321153697049e+01,-2.864289000509020866e+01,8.627290432924661800e+00,-3.388160983590755393e+01,5.327289605176508402e+00,1.825514632471480780e+01,-7.697602604416760030e+00,3.082016246988924024e+01,3.040852754904824451e+01,-1.377051057689808289e+01,-5.208533279602607990e+01,2.620990560079701481e+01,-4.492234779697787062e+00,3.128122569908818207e+00,-4.292004253933109581e+00,-2.836906828021126969e+01
4.000000000000000000e+02,1.100813315670579323e+04,-1.736701727377192128e+01,-4.020957766002510425e+01,3.978017882987754383e+00,-9.974079701944010168e+00,1.391010321153697049e+01,-2.864289000509020866e+01,8.627290432924661800e+00,-3.388160983590755393e+01,5.327289605176508402e+00,1.825514632471480780e+01,-7.697602604416760030e+00,3.082016246988924024e+01,3.040852754904824451e+01,-1.377051057689808289e+01,-5.208533279602607990e+01,2.620990560079701481e+01,-4.492234779697787062e+00,3.128122569908818207e+00,-4.292004253933109581e+00,-2.836906828021126969e+01
4.500000000000000000e+02,8.988843611629867155e+03,-2.564275388834258251e+01,-1.845731478605221909e+01,8.710846510584104863e+00,-9.974079701944010168e+00,2.912629640577910095e+01,-1.762722106456158855e+01,-2.697792210567482307e+00,-1.402833073399571617e+01,6.286688157470443628e-01,1.825514632471480780e+01,-2.209586920544565203e+01,4.323211183927744372e+01,2.710619083379793182e+01,1.804458307354967062e+01,2.055278920727225511e+00,-8.549558509349903801e-01,3.918777927606711842e+01,-7.411751651679039377e+00,2.787282858885265568e+01,-1.812236487462487844e+01
5.000000000000000000e+02,7.063798810395301189e+03,-3.253710587049108938e+01,-1.836752400312384736e+01,-2.049369487195007267e+01,-2.730133237269977897e+01,2.239459270103984423e+01,2.362676077501491889e+01,2.629549144441336139e+01,-6.790385609117504551e+00,4.354380398025660348e+00,4.079270504599429970e+00,6.611841136557792709e+00,-1.396043558487312453e+01,-8.756940807381331737e+00,3.093337244911183603e+01,3.543958519059401624e+00,3.091808525504481864e+01,-9.713947592470578485e+00,1.587780644719764211e+01,1.814684997344041761e+00,-8.893619143146887396e+00
