# evals,fx,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
5.000000000000000000e+01,3.957817194775759708e+04,2.502823895604684878e+01,7.063468662436883960e+01,-3.934181774648948249e-01,1.451623348488143961e+01,5.109035565948261137e-01,5.928840679018171045e+01,8.138702280952679757e+01,-3.546779726502624897e+01,4.487940118751706109e+01,3.095118968263915349e+01,-2.534243356991690632e+01,6.069919987187915922e+01,3.901073544336676946e+01,-1.625346088014367751e+00,1.438450205790000780e+01,8.978788624319190603e+01,2.803401859472225510e+01,2.697822492255643567e+01,-2.387202167293503408e+01,5.638089772423637669e+01
1.000000000000000000e+02,3.957817194775759708e+04,2.502823895604684878e+01,7.063468662436883960e+01,-3.934181774648948249e-01,1.451623348488143961e+01,5.109035565948261137e-01,5.928840679018171045e+01,8.138702280952679757e+01,-3.546779726502624897e+01,4.487940118751706109e+01,3.095118968263915349e+01,-2.534243356991690632e+01,6.069919987187915922e+01,3.901073544336676946e+01,-1.625346088014367751e+00,1.438450205790000780e+01,8.978788624319190603e+01,2.803401859472225510e+01,2.697822492255643567e+01,-2.387202167293503408e+01,5.638089772423637669e+01
1.500000000000000000e+02,3.957817194775759708e+04,2.502823895604684878e+01,7.063468662436883960e+01,-3.934181774648948249e-01,1.451623348488143961e+01,5.109035565948261137e-01,5.928840679018171045e+01,8.138702280952679757e+01,-3.546779726502624897e+01,4.487940118751706109e+01,3.095118968263915349e+01,-2.534243356991690632e+01,6.069919987187915922e+01,3.901073544336676946e+01,-1.625346088014367751e+00,1.438450205790000780e+01,8.978788624319190603e+01,2.803401859472225510e+01,2.697822492255643567e+01,-2.387202167293503408e+01,5.638089772423637669e+01
2.000000000000000000e+02,3.957817194775759708e+04,2.502823895604684878e+01,7.063468662436883960e+01,-3.934181774648948249e-01,1.451623348488143961e+01,5.109035565948261137e-01,5.928840679018171045e+01,8.138702280952679757e+01,-3.546779726502624897e+01,4.487940118751706109e+01,3.095118968263915349e+01,-2.534243356991690632e+01,6.069919987187915922e+01,3.901073544336676946e+01,-1.625346088014367751e+00,1.438450205790000780e+01,8.978788624319190603e+01,2.803401859472225510e+01,2.697822492255643567e+01,-2.387202167293503408e+01,5.638089772423637669e+01
2.500000000000000000e+02,3.957817194775759708e+04,2.502823895604684878e+01,7.063468662436883960e+01,-3.934181774648948249e-01,1.451623348488143961e+01,5.109035565948261137e-01,5.928840679018171045e+01,8.138702280952679757e+01,-3.546779726502624897e+01,4.487940118751706109e+01,3.095118968263915349e+01,-2.534243356991690632e+01,6.069919987187915922e+01,3.901073544336676946e+01,-1.625346088014367751e+00,1.438450205790000780e+01,8.978788624319190603e+01,2.803401859472225510e+01,2.697822492255643567e+01,-2.387202167293503408e+01,5.638089772423637669e+01
3.000000000000000000e+02,3.342588940049631492e+04,8.885871743897676822e+01,4.944695785629640739e+00,-3.111432524915572628e+01,-3.135787922622563428e+01,4.261880042092219156e+01,-1.108090707034384259e+01,4.759653538564160868e+01,-4.248578164686981040e+01,-2.916142911698197082e+01,-6.721911949394447561e+01,1.708484324423636380e+01,9.342579210875499029e-01,-3.121934135804460908e+01,-6.331942235440503453e+01,-3.497322100479867402e+01,4.666023769457065384e+01,-6.650429719224142389e+00,5.864259781584863163e+01,-3.872058000651328769e+00,6.999439290089313204e-01
3.500000000000000000e+02,1.571669805436665047e+04,2.446897872701215348e+01,3.377449293018069909e+01,-1.429583298347280973e+01,-7.969675863999000853e+00,3.187643660470547502e+01,1.892578466821181848e+01,1.189375524355956770e+01,3.325145726079678354e+01,-2.928716531044650395e+01,2.730832750799137898e+01,5.996994112028289692e+00,2.552671175681599891e+01,-2.395107839111538794e+00,-5.931087963679171082e+01,3.101936333972510340e-01,-4.621387580865475542e+01,-4.761677668740689029e+01,-5.338870076014572419e+00,2.901111911406822230e+01,-2.226275942728790369e-01
4.000000000000000000e+02,1.571669805436665047e+04,2.446897872701215348e+01,3.377449293018069909e+01,-1.429583298347280973e+01,-7.969675863999000853e+00,3.187643660470547502e+01,1.892578466821181848e+01,1.189375524355956770e+01,3.325145726079678354e+01,-2.928716531044650395e+01,2.730832750799137898e+01,5.996994112028289692e+00,2.552671175681599891e+01,-2.395107839111538794e+00,-5.931087963679171082e+01,3.101936333972510340e-01,-4.621387580865475542e+01,-4.761677668740689029e+01,-5.338870076014572419e+00,2.901111911406822230e+01,-2.226275942728790369e-01
4.500000000000000000e+02,1.571669805436665047e+04,2.446897872701215348e+01,3.377449293018069909e+01,-1.429583298347280973e+01,-7.969675863999000853e+00,3.187643660470547502e+01,1.892578466821181848e+01,1.189375524355956770e+01,3.325145726079678354e+01,-2.928716531044650395e+01,2.730832750799137898e+01,5.996994112028289692e+00,2.552671175681599891e+01,-2.395107839111538794e+00,-5.931087963679171082e+01,3.101936333972510340e-01,-4.621387580865475542e+01,-4.761677668740689029e+01,-5.338870076014572419e+00,2.901111911406822230e+01,-2.226275942728790369e-01
5.000000000000000000e+02,1.571669805436665047e+04,2.446897872701215348e+01,3.377449293018069909e+01,-1.429583298347280973e+01,-7.969675863999000853e+00,3.187643660470547502e+01,1.892578466821181848e+01,1.189375524355956770e+01,3.325145726079678354e+01,-2.928716531044650395e+01,2.730832750799137898e+01,5.996994112028289692e+00,2.552671175681599891e+01,-2.395107839111538794e+00,-5.931087963679171082e+01,3.101936333972510340e-01,-4.621387580865475542e+01,-4.761677668740689029e+01,-5.338870076014572419e+00,2.901111911406822230e+01,-2.226275942728790369e-01
